region,coef,p_val,year,quarter,promo_ratio
강원,0.04244591474122585,0.3511935290717806,2021,1,0.6436781609195402
강원,0.022595628067648664,0.9482098967381403,2021,2,0.4444444444444444
강원,0.004255654408234497,0.0029880448228695403,2021,3,0.5280898876404494
강원,0.15499024237831277,0.3101015533955892,2021,4,0.42391304347826086
강원,-0.005122783784173606,0.6505915457352225,2022,1,0.8522727272727273
강원,-0.12356821223895692,0.2816800049193774,2022,2,0.42857142857142855
강원,0.11902256989907893,0.9114936932531559,2022,3,0.21348314606741572
강원,0.039799629191814886,0.0799498697963542,2022,4,0.05434782608695652
강원,0.17164974163375546,0.568179403298306,2023,1,0.5862068965517241
강원,0.05514678428018167,0.5542326468416088,2023,2,0.6777777777777778
경남,-0.06420080673189653,0.05068909941063679,2021,1,0.6436781609195402
경남,-0.012667282387043694,0.707054484290951,2021,2,0.5280898876404494
경남,-0.0011748414974929126,0.5560104500647935,2021,3,0.4157303370786517
경남,-0.0031783565395700607,0.9687442435553149,2021,4,0.38202247191011235
경남,0.022978271982908933,0.01065655286745078,2022,1,0.8023255813953488
경남,0.26748007399755114,0.22557449055302115,2022,2,0.43333333333333335
경남,0.020683925693179128,0.483957657730691,2022,3,0.1111111111111111
경남,2.493114095283308e-17,0.1748022533608389,2022,4,0.0
경남,0.27473746771462637,0.021227744442389757,2023,1,0.21839080459770116
경남,0.4834204210501153,0.6651486352591062,2023,2,0.011111111111111112
광주전남,-0.010776027054999705,0.3855643216428868,2021,1,0.7241379310344828
광주전남,0.05429064243908063,0.3067185074628524,2021,2,0.4
광주전남,0.07762410801449919,0.019695691948904585,2021,3,0.8651685393258427
광주전남,0.06260825808078377,0.004373676012799416,2021,4,0.6
광주전남,-0.001326420390964488,0.0006902735401980157,2022,1,0.8390804597701149
광주전남,0.20182360155581675,0.6253639286008579,2022,2,0.4777777777777778
광주전남,0.3068760238972361,0.018305314705581534,2022,3,0.1111111111111111
광주전남,0.11298525694791509,0.8407539857517004,2022,4,0.1348314606741573
광주전남,0.04150470636946329,0.020376683496337342,2023,1,0.5529411764705883
광주전남,-0.1250053754646393,0.5951330205763135,2023,2,0.16666666666666666
대구경북,-0.07086780463366672,0.009936394810422168,2021,1,0.6896551724137931
대구경북,0.016795259791062656,0.38434614568351977,2021,2,0.3888888888888889
대구경북,0.03423004437043311,0.9828129188746704,2021,3,0.5111111111111111
대구경북,0.09520901577903923,0.17724638432751139,2021,4,0.45652173913043476
대구경북,0.07812529139343546,0.12121228786802589,2022,1,0.8390804597701149
대구경북,0.004197963264323144,0.1855738090068549,2022,2,0.5494505494505495
대구경북,0.0874628121094839,0.6241646410120824,2022,3,0.38666666666666666
대구경북,0.015422515574364654,0.2952615560538206,2022,4,0.3695652173913043
대구경북,0.08392285522947067,0.00042448244459292834,2023,1,0.7241379310344828
대구경북,0.056365265860801796,0.002866011284506656,2023,2,0.6
대전세종충남,-0.08842926376364382,0.42229247137764314,2021,1,0.6976744186046512
대전세종충남,0.052550375111757426,0.6705185022306561,2021,2,0.5934065934065934
대전세종충남,-0.03765441959072571,0.007788355250827093,2021,3,0.4111111111111111
대전세종충남,0.013615946879993299,0.23013517379259646,2021,4,0.37777777777777777
대전세종충남,0.05945955196286664,5.987155074699067e-05,2022,1,0.7586206896551724
대전세종충남,0.03153271698350493,0.661655942070791,2022,2,0.42857142857142855
대전세종충남,0.2880632634586684,0.22679800850779203,2022,3,0.11235955056179775
대전세종충남,-7.486385292980633e-17,0.6784250324637658,2022,4,0.0
대전세종충남,0.13374723192496227,7.729947371914101e-05,2023,1,0.5862068965517241
대전세종충남,0.05971229688571359,0.6074128813150075,2023,2,0.4065934065934066
부산,-0.027133272110226772,0.6258933948798349,2021,1,0.7471264367816092
부산,0.10270090370599237,0.7550546341157331,2021,2,0.42857142857142855
부산,-0.0553872338475312,0.7366323972533079,2021,3,0.5
부산,0.05900481770464013,0.042748967773571366,2021,4,0.42391304347826086
부산,-0.026080788426563764,0.0033083843194780735,2022,1,0.8045977011494253
부산,-0.009609736801763698,0.19107688137130127,2022,2,0.42857142857142855
부산,0.1569107790214987,0.9286704402333487,2022,3,0.34444444444444444
부산,0.10530382701393783,0.002564526820028513,2022,4,0.20652173913043478
부산,0.11658711585725726,0.07205717530366976,2023,1,0.6666666666666666
부산,0.09019148694615636,0.49978163792985775,2023,2,0.5888888888888889
울산,0.02101370042307829,0.2519165856562906,2021,1,0.8620689655172413
울산,0.09316846958914761,0.8913364031312534,2021,2,0.4725274725274725
울산,0.04711337912281133,0.4925529270266341,2021,3,0.8333333333333334
울산,0.1114672691181553,0.5493467398293155,2021,4,0.9
울산,6.9999999999999885,0.06413003270812724,2022,1,1.0
울산,-0.04589421897948136,0.0957270676929669,2022,2,0.43956043956043955
울산,-0.04237441572273674,0.8697854540100342,2022,3,0.17777777777777778
울산,0.1468205896336666,0.03332923297911627,2022,4,0.17582417582417584
울산,0.0338319632624289,0.034094019958049414,2023,1,0.5402298850574713
울산,0.04022273156876841,0.8168826452802521,2023,2,0.6777777777777778
전북,-0.06964846328153519,0.091748046530405,2021,1,0.8045977011494253
전북,-0.005976582747222401,0.9380998378746822,2021,2,0.4777777777777778
전북,-0.029425984257216466,0.9839343725806347,2021,3,0.7333333333333333
전북,0.24878857237823435,0.26178146062158536,2021,4,0.6195652173913043
전북,-0.07512093345561865,0.4243383505441173,2022,1,0.8620689655172413
전북,0.31089538647632,0.043474607891728606,2022,2,0.5581395348837209
전북,0.18712464815476126,0.32737497421883577,2022,3,0.4666666666666667
전북,0.12413880593407049,0.16214163731784184,2022,4,0.6067415730337079
전북,0.2698975386032871,0.17896152525357034,2023,1,0.4235294117647059
전북,-0.039577612830642116,0.03827005021651516,2023,2,0.4888888888888889
제주,-0.09207755484092206,0.38938942526376585,2021,1,0.6436781609195402
제주,0.06569044422707276,0.9484709440220387,2021,2,0.47191011235955055
제주,0.026130380350182846,0.3596270886612808,2021,3,0.5280898876404494
제주,-0.03200972031969885,0.08051873845702594,2021,4,0.5444444444444444
제주,0.05838091948095153,0.07958255542436528,2022,1,0.7586206896551724
제주,0.04246649717233178,0.42205837990470807,2022,2,0.5333333333333333
제주,0.14721324811511996,0.9304167718900915,2022,3,0.18888888888888888
제주,0.22435991803607946,0.010906277667782337,2022,4,0.2717391304347826
제주,0.138160167821912,0.7688292278041963,2023,1,0.632183908045977
제주,0.044992240407164354,0.4942490219280219,2023,2,0.4111111111111111
충북,-0.14745295889324073,0.11091794943712632,2021,1,0.6857142857142857
충북,0.20504465342047254,0.30525632665724306,2021,2,0.38961038961038963
충북,0.05398815877786062,0.7751128743585729,2021,3,0.5064935064935064
충북,0.017661436782848698,0.1094066508241579,2021,4,0.5263157894736842
충북,0.07513100396095097,0.0521629406813191,2022,1,0.8493150684931506
충북,-0.062350952888458586,0.8838488290691522,2022,2,0.4444444444444444
충북,0.22234648204467466,0.09951329472339826,2022,3,0.15789473684210525
충북,0.38940947085779615,0.014270340436553255,2022,4,0.125
충북,0.055218343057656244,0.1975170029184215,2023,1,0.3924050632911392
충북,0.05102423729880546,0.8155256265613235,2023,2,0.3333333333333333
