region,gender,coef,p_val,start_date,promo_ratio,dates_count
강원,남,0.1861194121842403,8.140241101152562e-07,2021-1-1,0.5303867403314917,181
강원,남,0.1127968982920489,0.016521983591722696,2021-7-1,0.4673913043478261,184
강원,남,0.048050384050960356,0.23053908160212053,2022-1-1,0.6298342541436464,181
강원,남,0.16172125872845367,0.0035482985978121493,2022-7-1,0.1358695652173913,184
강원,남,0.17369303446408457,5.7790336700648144e-05,2023-1-1,0.6187845303867403,181
강원,남,-0.036308589776387484,0.6266342687511304,2023-7-1,0.5161290322580645,31
강원,여,0.12184303473963577,0.00456001099472298,2021-1-1,0.5303867403314917,181
강원,여,0.15184561474553762,0.006565715226355868,2021-7-1,0.4673913043478261,184
강원,여,-0.008558943794734493,0.9048836315166249,2022-1-1,0.6298342541436464,181
강원,여,0.0011954110585910486,0.9915446821042435,2022-7-1,0.1358695652173913,184
강원,여,0.16382748785724843,0.006261354650429516,2023-1-1,0.6187845303867403,181
강원,여,-0.010506377815265424,0.9330428408425933,2023-7-1,0.5161290322580645,31
경남,남,0.1444606013531135,0.002706691972481907,2021-1-1,0.574585635359116,181
경남,남,0.19460582023239498,1.5095591042953316e-05,2021-7-1,0.3858695652173913,184
경남,남,-0.04019012333970867,0.4120087939890663,2022-1-1,0.6022099447513812,181
경남,남,0.07902733391302016,0.38100395628493,2022-7-1,0.05434782608695652,184
경남,남,0.04154596933418271,0.5089242696656063,2023-1-1,0.11049723756906077,181
경남,남,0.008577444796013776,0.8812712460159003,2023-7-1,0.5161290322580645,31
경남,여,0.000688437942545035,0.9890243418445597,2021-1-1,0.574585635359116,181
경남,여,0.127943206661805,0.01377424654280036,2021-7-1,0.3858695652173913,184
경남,여,-0.06827305420595443,0.21196537896052386,2022-1-1,0.6022099447513812,181
경남,여,-0.03663028281665775,0.7694908679154694,2022-7-1,0.05434782608695652,184
경남,여,-0.04190801703693319,0.6256264479049722,2023-1-1,0.11049723756906077,181
경남,여,0.3836414457297835,0.02643411612342809,2023-7-1,0.5161290322580645,31
광주전남,남,0.05020748407303737,0.1329685788461381,2021-1-1,0.5469613259668509,181
광주전남,남,0.12412713891889796,0.0030671487254381818,2021-7-1,0.7119565217391305,184
광주전남,남,-0.024999912067665518,0.468440475755188,2022-1-1,0.6408839779005525,181
광주전남,남,0.054475798382556354,0.4008283260170008,2022-7-1,0.11956521739130435,184
광주전남,남,0.07021114747459363,0.04232030009072383,2023-1-1,0.3425414364640884,181
광주전남,남,-0.16541989308677044,0.014621842102881775,2023-7-1,0.5161290322580645,31
광주전남,여,0.1048680401610798,0.02371747330915547,2021-1-1,0.5469613259668509,181
광주전남,여,0.1351590538216943,0.008063963888908218,2021-7-1,0.7119565217391305,184
광주전남,여,0.010749509757275726,0.8737879869843849,2022-1-1,0.6408839779005525,181
광주전남,여,0.16351747094115493,0.07896602721430475,2022-7-1,0.11956521739130435,184
광주전남,여,0.07758343384951585,0.13378535022213747,2023-1-1,0.3425414364640884,181
광주전남,여,-0.23935350332496588,0.00020637246142190795,2023-7-1,0.5161290322580645,31
대구경북,남,0.23733068017667044,3.2493665242130707e-07,2021-1-1,0.5248618784530387,181
대구경북,남,0.12939765062307704,0.0004648937419616142,2021-7-1,0.4782608695652174,184
대구경북,남,0.05351414308262355,0.14889252601169808,2022-1-1,0.6795580110497238,181
대구경북,남,0.1221844490717343,0.0032342966219441483,2022-7-1,0.3423913043478261,184
대구경북,남,0.08409211807381786,0.025098134542240844,2023-1-1,0.6464088397790055,181
대구경북,남,0.05300471689826625,0.5576931609681481,2023-7-1,0.7741935483870968,31
대구경북,여,0.2102816228051251,7.081705521370629e-07,2021-1-1,0.5248618784530387,181
대구경북,여,0.12613710862302735,0.0022766639148714437,2021-7-1,0.4782608695652174,184
대구경북,여,-0.01358601678138978,0.7579746166965745,2022-1-1,0.6795580110497238,181
대구경북,여,0.22515360628918032,6.246022513367139e-06,2022-7-1,0.3423913043478261,184
대구경북,여,0.09779823584695595,0.03399744896528569,2023-1-1,0.6464088397790055,181
대구경북,여,-0.009009437811080517,0.9145037147948224,2023-7-1,0.7741935483870968,31
대전세종충남,남,0.19597102270958214,6.739568463091379e-07,2021-1-1,0.6353591160220995,181
대전세종충남,남,0.19918003611914428,8.455868589836556e-08,2021-7-1,0.3858695652173913,184
대전세종충남,남,0.06936006216118974,0.03207157527887316,2022-1-1,0.580110497237569,181
대전세종충남,남,0.03718219532055675,0.608745041293579,2022-7-1,0.05434782608695652,184
대전세종충남,남,0.06950975175966029,0.044404392782996946,2023-1-1,0.4861878453038674,181
대전세종충남,남,0.11715400818679292,0.09484202508752063,2023-7-1,0.5161290322580645,31
대전세종충남,여,0.18623889539795135,0.00027805459810745453,2021-1-1,0.6298342541436464,181
대전세종충남,여,0.11688637468493192,0.007643917147808042,2021-7-1,0.3858695652173913,184
대전세종충남,여,-0.05071253301228857,0.2442000507029888,2022-1-1,0.580110497237569,181
대전세종충남,여,0.027510073876185853,0.7872245351844506,2022-7-1,0.05434782608695652,184
대전세종충남,여,-0.02828300882097616,0.5335176472900517,2023-1-1,0.4861878453038674,181
대전세종충남,여,-0.03873966942148761,0.5536455376674482,2023-7-1,0.5161290322580645,31
부산,남,0.2653452469137027,1.5179612542255694e-05,2021-1-1,0.574585635359116,181
부산,남,0.14656701197134817,0.005258473239150489,2021-7-1,0.45652173913043476,184
부산,남,-0.0501139541876837,0.3289627545543208,2022-1-1,0.6022099447513812,181
부산,남,0.13553131571890106,0.015817076045087065,2022-7-1,0.2717391304347826,184
부산,남,0.19229911839799435,0.0008661428478634951,2023-1-1,0.6132596685082873,181
부산,남,5.141203831884391,2.667722631947101e-15,2023-7-1,1.0,31
부산,여,0.12820531244707645,0.0018327061247838347,2021-1-1,0.574585635359116,181
부산,여,0.11905530437899609,0.01264075399035951,2021-7-1,0.45652173913043476,184
부산,여,0.01942220651426512,0.6880706439638373,2022-1-1,0.6022099447513812,181
부산,여,0.15506015648489993,0.00583827824467258,2022-7-1,0.2717391304347826,184
부산,여,0.09388581918009799,0.11271621259152957,2023-1-1,0.6132596685082873,181
부산,여,4.631363370392049,4.222953940279973e-17,2023-7-1,1.0,31
울산,남,0.08405034272180757,0.09544450104508113,2021-1-1,0.6519337016574586,181
울산,남,0.08288592224138423,0.2007840817976118,2021-7-1,0.8478260869565217,184
울산,남,-0.13204496907643762,0.004990684098722871,2022-1-1,0.7016574585635359,181
울산,남,0.0810251582089768,0.1879747502443206,2022-7-1,0.17391304347826086,184
울산,남,0.06439193208824029,0.13594478500774315,2023-1-1,0.5966850828729282,181
울산,남,-0.18588479154826,0.07303610527855653,2023-7-1,0.5161290322580645,31
울산,여,0.019158008530598587,0.7573773374584674,2021-1-1,0.6519337016574586,181
울산,여,0.14731701823480647,0.07736010642189885,2021-7-1,0.8478260869565217,184
울산,여,-0.11195788002568983,0.05645381904077733,2022-1-1,0.7016574585635359,181
울산,여,-0.030767545600091758,0.7083496334176248,2022-7-1,0.17391304347826086,184
울산,여,0.10960556390199246,0.07820407551391312,2023-1-1,0.5966850828729282,181
울산,여,0.15819824110772793,0.1432135738839457,2023-7-1,0.5161290322580645,31
전북,남,0.15689263354857821,0.00315219165998958,2021-1-1,0.6243093922651933,181
전북,남,0.11348898175750727,0.024418775600052872,2021-7-1,0.6684782608695652,184
전북,남,-0.052521285096087965,0.310719144844421,2022-1-1,0.6795580110497238,181
전북,남,0.08327370006644534,0.07790301399360972,2022-7-1,0.5217391304347826,184
전북,남,0.07908351728832551,0.09933348217368768,2023-1-1,0.4419889502762431,181
전북,남,0.07722339010682629,0.5215261849322971,2023-7-1,0.7096774193548387,31
전북,여,0.056481280490008286,0.3952945427818537,2021-1-1,0.6243093922651933,181
전북,여,0.01771447433723959,0.7854529164506547,2021-7-1,0.6684782608695652,184
전북,여,-0.1717189288481304,0.005586699638046755,2022-1-1,0.6795580110497238,181
전북,여,0.09243517949051229,0.14330713780422338,2022-7-1,0.5217391304347826,184
전북,여,0.24801909084292323,0.0018020360267473805,2023-1-1,0.4419889502762431,181
전북,여,-0.14488636363636315,0.36441749786781363,2023-7-1,0.7096774193548387,31
제주,남,-0.0630628134636297,0.2699781293165574,2021-1-1,0.5469613259668509,181
제주,남,0.09481177427179352,0.14212668926700295,2021-7-1,0.5217391304347826,184
제주,남,-0.06740049205513757,0.22826385671675747,2022-1-1,0.6353591160220995,181
제주,남,0.21214018051942507,0.011050995827793154,2022-7-1,0.22826086956521738,184
제주,남,-0.0632025506409789,0.2969846203912412,2023-1-1,0.5082872928176796,181
제주,남,3.116144018583044,8.649965076125648e-11,2023-7-1,1.0,31
제주,여,0.08594897511044666,0.17983188182103935,2021-1-1,0.5414364640883977,181
제주,여,0.09053911886165214,0.2534373618622953,2021-7-1,0.5217391304347826,184
제주,여,0.00010550529508800827,0.9988767198276131,2022-1-1,0.6353591160220995,181
제주,여,0.011651269443989618,0.9135354857436202,2022-7-1,0.22826086956521738,184
제주,여,0.05502205115816959,0.5009132431655586,2023-1-1,0.5082872928176796,181
제주,여,3.019165595418957,3.1474044204369205e-09,2023-7-1,1.0,31
충북,남,0.11722714550077502,0.02857744414008801,2021-1-1,0.569060773480663,181
충북,남,0.12326160053058591,0.019767119462361836,2021-7-1,0.5434782608695652,184
충북,남,-0.08518191558018712,0.04541975673930086,2022-1-1,0.6464088397790055,181
충북,남,0.08284242746441414,0.1727537985664041,2022-7-1,0.16847826086956522,184
충북,남,-0.01070944564232755,0.7922239091441063,2023-1-1,0.3867403314917127,181
충북,남,-0.04013377926421406,0.7452891362319916,2023-7-1,0.5161290322580645,31
충북,여,0.07019020915874569,0.1903138791494901,2021-1-1,0.569060773480663,181
충북,여,0.13610421824507848,0.019217394073321816,2021-7-1,0.5434782608695652,184
충북,여,-0.0808351119365818,0.20877133821799781,2022-1-1,0.6464088397790055,181
충북,여,0.028562683338727843,0.76199317061455,2022-7-1,0.16304347826086957,184
충북,여,0.0039401510069042335,0.9449904572937521,2023-1-1,0.3812154696132597,181
충북,여,0.06667533988161055,0.6547531039365069,2023-7-1,0.5161290322580645,31
